id	vendor_id	pickup_datetime	dropoff_datetime	passenger_count	pickup_longitude	pickup_latitude	dropoff_longitude	dropoff_latitude	store_and_fwd_flag	trip_duration
id2875421	2	2016-03-14 17:24:55	2016-03-14 17:32:30	1	-73.982154846191400	40.767936706543000	-73.964630126953100	40.765602111816400	N	455
id2377394	1	2016-06-12 00:43:35	2016-06-12 00:54:38	1	-73.980415344238300	40.738563537597700	-73.999481201171900	40.731151580810500	N	663
id3858529	2	2016-01-19 11:35:24	2016-01-19 12:10:48	1	-73.979026794433600	40.763938903808600	-74.005332946777300	40.710086822509800	N	2124
id3504673	2	2016-04-06 19:32:31	2016-04-06 19:39:40	1	-74.010040283203100	40.719970703125	-74.01226806640630	40.706718444824200	N	429
id2181028	2	2016-03-26 13:30:55	2016-03-26 13:38:10	1	-73.973052978515600	40.793209075927700	-73.972923278808600	40.782520294189500	N	435
id0801584	2	2016-01-30 22:01:40	2016-01-30 22:09:03	6	-73.982856750488300	40.742195129394500	-73.992080688476600	40.749183654785200	N	443
id1813257	1	2016-06-17 22:34:59	2016-06-17 22:40:40	4	-73.969017028808600	40.757839202880900	-73.957405090332000	40.765895843505900	N	341
id1324603	2	2016-05-21 07:54:58	2016-05-21 08:20:49	1	-73.969276428222700	40.797779083252000	-73.922470092773400	40.76055908203130	N	1551
id1301050	1	2016-05-27 23:12:23	2016-05-27 23:16:38	1	-73.999481201171900	40.738399505615200	-73.985786437988300	40.732814788818400	N	255
id0012891	2	2016-03-10 21:45:01	2016-03-10 22:05:26	1	-73.981048583984400	40.744338989257800	-73.972999572753900	40.789989471435500	N	1225
id1436371	2	2016-05-10 22:08:41	2016-05-10 22:29:55	1	-73.982650756835900	40.763839721679700	-74.002227783203100	40.732990264892600	N	1274
id1299289	2	2016-05-15 11:16:11	2016-05-15 11:34:59	4	-73.991531372070300	40.749439239502000	-73.95654296875	40.7706298828125	N	1128
id1187965	2	2016-02-19 09:52:46	2016-02-19 10:11:20	2	-73.962982177734400	40.756679534912100	-73.984405517578100	40.760719299316400	N	1114
id0799785	2	2016-06-01 20:58:29	2016-06-01 21:02:49	1	-73.956306457519500	40.767940521240200	-73.966110229492200	40.76300048828130	N	260
id2900608	2	2016-05-27 00:43:36	2016-05-27 01:07:10	1	-73.992195129394500	40.727226257324200	-73.974655151367200	40.783069610595700	N	1414
id3319787	1	2016-05-16 15:29:02	2016-05-16 15:32:33	1	-73.955513000488300	40.768592834472700	-73.948760986328100	40.77154541015630	N	211
id3379579	2	2016-04-11 17:29:50	2016-04-11 18:08:26	1	-73.991165161132800	40.755561828613300	-73.999290466308600	40.725353240966800	N	2316
id1154431	1	2016-04-14 08:48:26	2016-04-14 09:00:37	1	-73.994255065918000	40.745803833007800	-73.999656677246100	40.723342895507800	N	731
id3552682	1	2016-06-27 09:55:13	2016-06-27 10:17:10	1	-74.003982543945300	40.7130126953125	-73.979194641113300	40.749923706054700	N	1317
id3390316	2	2016-06-05 13:47:23	2016-06-05 13:51:34	1	-73.98388671875	40.738197326660200	-73.991203308105500	40.727870941162100	N	251
id2070428	1	2016-02-28 02:23:02	2016-02-28 02:31:08	1	-73.980369567871100	40.742420196533200	-73.962852478027300	40.760635375976600	N	486
id0809232	2	2016-04-01 12:12:25	2016-04-01 12:23:17	1	-73.979537963867200	40.753360748291000	-73.963996887207000	40.763458251953100	N	652
id2352683	1	2016-04-09 03:34:27	2016-04-09 03:41:30	1	-73.995864868164100	40.758811950683600	-73.993324279785200	40.740322113037100	N	423
id1603037	1	2016-06-25 10:36:26	2016-06-25 10:55:49	1	-73.993553161621100	40.747173309326200	-74.006141662597700	40.704383850097700	N	1163
id3321406	2	2016-06-03 08:15:05	2016-06-03 08:56:30	1	-73.955230712890600	40.777133941650400	-73.788749694824200	40.641471862793000	N	2485
id0129640	2	2016-02-14 13:27:56	2016-02-14 13:49:19	1	-73.956581115722700	40.771358489990200	-73.974967956543000	40.732791900634800	N	1283
id3587298	1	2016-02-27 21:56:01	2016-02-27 22:14:51	1	-73.9837646484375	40.749874114990200	-73.958831787109400	40.800960540771500	N	1130
id2104175	1	2016-06-20 23:07:16	2016-06-20 23:18:50	1	-73.95843505859380	40.713191986084000	-73.949539184570300	40.680252075195300	N	694
id3973319	2	2016-06-13 21:57:27	2016-06-13 22:12:19	1	-73.994216918945300	40.713306427002000	-73.98284912109380	40.692298889160200	N	892
id1410897	1	2016-03-23 14:10:39	2016-03-23 14:49:30	1	-73.98211669921880	40.756351470947300	-73.865692138671900	40.770988464355500	N	2331
id0266980	1	2016-05-17 10:47:51	2016-05-17 11:12:30	1	-73.970939636230500	40.761669158935500	-73.996238708496100	40.725368499755900	N	1479
id2822549	2	2016-05-21 13:03:24	2016-05-21 13:20:52	1	-73.998268127441400	40.720039367675800	-74.010360717773400	40.672138214111300	N	1048
id3075902	2	2016-05-10 19:27:38	2016-05-10 19:44:40	2	-74.005500793457000	40.706588745117200	-73.985816955566400	40.74420166015630	N	1022
id0023813	1	2016-04-17 14:38:30	2016-04-17 15:16:19	1	-73.990310668945300	40.756580352783200	-73.870918273925800	40.773929595947300	N	2269
id3970352	1	2016-01-09 12:55:35	2016-01-09 13:07:22	1	-74.008995056152300	40.712589263916000	-73.998634338378900	40.722808837890600	N	707
id3361153	1	2016-03-11 07:11:23	2016-03-11 07:20:09	1	-73.994560241699200	40.750526428222700	-73.978500366210900	40.756191253662100	N	526
id1870624	1	2016-01-05 15:29:54	2016-01-05 15:39:07	3	-73.951515197753900	40.770248413085900	-73.958526611328100	40.761516571044900	N	553
id2403238	1	2016-06-23 23:00:09	2016-06-23 23:04:46	1	-73.988067626953100	40.728080749511700	-73.980751037597700	40.721469879150400	N	277
id3323083	1	2016-05-27 14:26:12	2016-05-27 14:46:01	2	-73.978126525878900	40.758342742919900	-73.99224853515630	40.730541229248000	N	1189
id3720663	1	2016-05-10 16:14:56	2016-05-10 16:40:19	1	-73.977767944335900	40.774078369140600	-73.9471435546875	40.775993347168000	N	1523
id0578558	1	2016-04-21 21:28:27	2016-04-21 21:52:37	2	-73.988548278808600	40.745979309082000	-73.97088623046880	40.793384552002000	N	1450
id2573056	2	2016-04-14 13:27:52	2016-04-14 13:46:14	2	-73.974723815918000	40.751136779785200	-73.954444885253900	40.764118194580100	N	1102
id2129090	1	2016-03-14 14:05:39	2016-03-14 14:28:05	1	-73.975090026855500	40.758766174316400	-73.953201293945300	40.765068054199200	N	1346
id3961107	1	2016-03-19 01:12:46	2016-03-19 01:18:49	1	-73.976470947265600	40.739780426025400	-73.980667114257800	40.729965209960900	N	363
id3326491	2	2016-02-12 07:41:56	2016-02-12 07:51:15	1	-73.979644775390600	40.739631652832000	-73.994728088378900	40.723495483398400	N	559
id0718344	2	2016-06-13 15:52:20	2016-06-13 16:16:58	1	-74.016326904296900	40.704990386962900	-73.982109069824200	40.773750305175800	N	1478
id3188770	1	2016-01-03 16:59:02	2016-01-03 17:04:50	1	-73.985137939453100	40.732192993164100	-73.989639282226600	40.720874786377000	N	348
id1956279	2	2016-02-26 08:37:00	2016-02-26 08:43:15	1	-73.981658935546900	40.778972625732400	-73.969810485839800	40.792129516601600	N	375
id2391523	1	2016-05-18 21:50:24	2016-05-18 22:10:41	3	-73.966163635253900	40.766914367675800	-73.992179870605500	40.725818634033200	N	1217
id2662609	1	2016-04-10 19:11:03	2016-04-10 19:25:39	1	-73.965469360351600	40.765846252441400	-73.960952758789100	40.796928405761700	N	876
id2067879	2	2016-01-19 23:19:01	2016-01-19 23:44:58	1	-73.996818542480500	40.752861022949200	-73.809005737304700	40.816875457763700	N	1557
id1939961	1	2016-05-07 13:18:52	2016-05-07 13:46:19	1	-73.977256774902300	40.774246215820300	-73.990013122558600	40.732654571533200	N	1647
id0675800	2	2016-02-15 09:25:15	2016-02-15 09:35:49	6	-73.977752685546900	40.754631042480500	-74.001678466796900	40.756420135498000	N	634
